VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
23.48403417821808,1.689521719375989
23.581004107925622,1.6964898031892517
23.67797956078283,1.7015654425867979
30.868458649403266,2.0778190803011967
66.88768556349271,3.9586345124262152
66.98668864679314,3.963794674280507
67.08569510537507,3.9752189633054513
96.05554677862818,7.316377842953443
109.95319591780685,8.918231017216385
110.05310891992087,8.929745545474361
110.15302281397408,8.936113276480683
124.0269654709839,9.820422888557005
156.02141784903813,11.860277403762666
218.9136944774063,15.871143611475418
312.55408747004867,21.84361416140746
338.37375291394505,23.490421631497156
338.4733597270373,23.49677456557947
338.57296675906,23.503191008603608
406.22430986021334,27.86092304858903
501.0169887006456,33.967193681721255
539.6895096675265,36.457852280142106
539.7893508903073,36.46428055489196
539.8891921007231,36.468404674746125
594.8523518311589,38.73973992374522
688.6789742707407,42.6187726205917
736.3388852409723,44.58978220744757
736.4386070243924,44.593907589029186
736.5383284679909,44.60076475927053
782.4101438205763,47.757255896745846
852.8063621179259,52.59839840982386
852.9061729505639,52.605253515774166
853.0059840313178,52.60857543159909
876.1524175200612,53.378834566994556
941.8936715227611,55.56621610255934
941.9934719917472,55.56953665029141
942.0932723641816,55.57386349180524
970.9782215271943,56.826164501631865
1064.7051002715316,60.889632090105806
1147.719093547732,64.48829946149453
1147.8189284901432,64.49262692622142
1147.9187635806766,64.49715480563827
1158.4802315480779,64.97616902059599
1253.3170453839853,69.27746846959599
1347.1195698606411,73.53165585682655
1441.8961393703353,77.83042713048053
1535.6501949775366,82.0835612492101
1629.3289958809228,86.33287822416605
1724.0195129659055,90.62774675370565
1739.5518292287024,91.33227063278173
1739.651623003197,91.33679694575585
1739.751417000099,91.34518610801024
1799.5881323608874,96.37499124924943
1799.688030042163,96.38338793867479
1799.7879278463756,96.37330736301374
1812.7954034218137,95.06073001882578
1812.8953159319694,95.0506478434454
1812.9952285431505,95.05272868028624
1817.87792849967,95.15442018755857
1894.4010571505055,96.74874102940157
1894.5008897390821,96.75082171844952
1894.6007221483042,96.75336726673959
1912.7549313981658,97.21633011314043
2006.6096537276057,99.60922538532031
2039.361658135113,100.4440349282122
2039.4615218208205,100.44658058038112
2039.5613854313729,100.44944413573467
2100.4701435475704,102.19630531929033
2195.2870982181457,104.91606884862631
2244.3545271003104,106.32291077092668
2244.454360405286,106.32577196722741
2244.5541937157454,106.32871672218425
2289.1222288133044,107.64393204044245
2384.000428832606,110.44672206126597
2477.896283915003,113.22284734091045
2571.7313366202197,115.99878167976203
2665.435125201732,118.77319019514653
2760.1504476811733,121.57754828090037
2794.621987856162,122.59766839397707
2794.7217805516298,122.60062165437557
2794.8215732204367,122.60448001563054
2853.9523939554942,124.89068965157458
2947.8669877300504,128.52227645571475
3042.8301694098636,132.19479073809816
3136.7689303276366,135.8279378344414
3230.6876370437717,139.46053184581433
3324.616072599842,143.0934882499787
3418.554189307262,146.7267773550666
3513.49156199252,150.398195196889
3607.441138757669,154.03160779597056
3679.608794770084,156.82302587671438
3679.7086958523546,156.82689003618907
3679.8085968840846,156.83285340354269
3701.358615816857,158.1192663337515
3795.1714439468096,163.72542669220275
3889.805155546735,169.38915934283068
3983.5312949258846,174.99513250924247
3999.9826867558954,175.97762680871165
4000.0826032680347,175.98359111710124
4000.182520093473,175.98874922799405
4077.4799707904463,179.98220675184348
4171.383072380909,184.83792776910195
4222.3838290094345,187.4747002849581
4222.483671477037,187.47986057968228
4222.583513722152,187.48552146501424
4265.220938489162,189.9030105879683
4359.961524474803,195.2747313501386
4453.758049332173,200.59291503067834
4547.566675310872,205.91175312065388
4642.36227700293,211.2865451537291
4711.1083126023,215.18435674987995
4711.208043714875,215.1900113580723
4711.307774747735,215.18871580089035
4736.124550086686,214.8663277301148
4807.571989054416,213.9381833049065
4807.671881446425,213.93688567969548
4807.7717740307635,213.9379378329504
4829.967953979486,214.171723845202
4924.898579973908,215.171694645549
5003.720692269955,216.00208063259925
5003.820574224618,240.483340980285
5003.92045612641,240.48767074947864
5018.8023631125625,241.13278766072108
5112.622985085299,245.20117885187756
5157.349920389456,247.14078157573203
5157.449756009263,247.14510975658413
5157.549591812912,247.1511384847854
5207.464569432496,250.16465596024136
5301.320693127885,255.83216572510173
5374.585173809949,260.25647531944924
5374.6851170695445,260.2625084760475
5374.785060464842,260.26237313869206
5396.213286550476,260.23335443781434
5490.173526445257,260.106092460097
5551.046255177495,260.0236224889304
5551.146038386706,260.0234872771507
5551.245821222602,260.03384269241724
5584.003824030353,263.4350757331704
5678.627245475951,273.2669924940419
