VS_APPROX_adjusted,HORIZON_Z_adjusted
0.0,0.0
9.814554740159338,-0.21257906354821898
9.910625031730888,-0.21465970177723648
10.006699592778546,-0.21586469147405296
64.98400813351515,-0.9050951205908859
65.08211547870388,-0.9063245184997868
65.18022572163005,-0.9104772336131646
81.34609012515955,-1.5946504522044052
81.4446459809642,-1.5988210580308078
81.54320432757339,-1.6016191081307625
91.54384454650813,-1.8855165733857575
156.84696293982557,-3.738620014094977
156.94661098438246,-3.7414468168885833
157.0462597645291,-3.745702673105825
185.9943669336443,-4.981880978635672
221.86883935292843,-6.513576043083049
221.968624480875,-6.517836264320977
222.06840958047104,-6.518852618152778
279.78686956297196,-7.106698936203429
327.04420572136775,-7.587865189121658
327.1440583952048,-7.588881654224679
327.2439112151764,-7.588230306228979
373.6399802212465,-7.285622117599814
468.52641465475034,-6.666751694192499
562.4614924706807,-6.054349319209905
655.4447410832936,-5.448502804697455
697.8940800543367,-5.171947165140409
697.994070365721,-5.171295778782678
698.0940606891529,-5.168478167183821
730.4367701229,-4.257090846895608
825.4212806481607,-1.5802799024359047
857.4281865630637,-0.6782085586605717
857.5281593020025,-0.6753909794188075
857.6281320938933,-0.6814163112458118
919.3990096753382,-4.404205416840341
987.1972682339836,-8.489945532008278
987.2972624341346,-8.495971252491017
987.3972566313569,-8.495242306477849
1014.3921421767698,-8.298452732826718
1109.3876543442188,-7.605946193464661
1127.080662455364,-7.476966121507758
1127.1806599031263,-7.476237151209716
1127.2806573631738,-7.476900302512604
1203.3854884160269,-7.981598892275542
1239.765671312522,-8.22285817938382
1239.8656697693937,-8.2235213351546
1239.9656682232892,-8.223496904926833
1297.3807986377465,-8.209469224319037
1392.3672636125075,-8.186260899356967
1479.8847721090842,-8.164878402342765
1479.9847679586258,-8.164853971999946
1480.084763815283,-8.16769570483666
1486.3598456478162,-8.346024452343954
1581.3538087133045,-11.045850902675738
1623.6471422655557,-12.247977111150249
1623.7471279945785,-12.250819066880467
1623.847113728881,-12.252492808697752
1675.337358945147,-13.114437460784757
1753.1070274551228,-14.416493142206036
1753.2069702647616,-14.418166665868739
1753.306913020084,-14.419426374906834
1770.296369180928,-14.633581162599512
1865.1963633237326,-15.830424063610735
1960.0511462013385,-17.027293552447645
2028.0982699891413,-17.885593315115784
2028.198184913904,-17.88685304648061
2028.2980999158415,-17.88777629546621
2053.9513112571576,-18.124812767406638
2147.926219576159,-18.992951218021062
2241.918820637658,-19.861166537275494
2329.8276613478206,-20.67325887254583
2329.92765266195,-20.674182582973117
2330.0276439778495,-20.675775586696545
2335.909828253323,-20.76948714384298
2430.8985623081758,-22.282787393453873
2524.88511222142,-23.780120888706733
2619.875014912604,-25.293428981389297
2714.8669427177665,-26.80672145133076
